item_id,qud,question,picture1,picture2,optionLeft,optionRight,polarity
1,decrease,How much does the word <b>decrease</b> relate to the two changes depicted below? Please check the pictures carefully.,images/decrease_size.png,images/decrease_vertical.png,size,vertical,negative
2,lessen,How much does the word <b>lessen</b> relate to the two changes depicted below? Please check the pictures carefully.,images/decrease_vertical.png,images/decrease_size.png,vertical,size,negative
3,lower,How much does the word <b>lower</b> relate to the two changes depicted below? Please check the pictures carefully.,images/decrease_size.png,images/decrease_vertical.png,size,vertical,negative
4,reduce,How much does the word <b>reduce</b> relate to the two changes depicted below? Please check the pictures carefully.,images/decrease_vertical.png,images/decrease_size.png,vertical,size,negative
5,drop,How much does the word <b>drop</b> relate to the two changes depicted below? Please check the pictures carefully.,images/decrease_size.png,images/decrease_vertical.png,size,vertical,negative
6,fall,How much does the word <b>fall</b> relate to the two changes depicted below? Please check the pictures carefully.,images/decrease_vertical.png,images/decrease_size.png,vertical,size,negative
7,decline,How much does the word <b>decline</b> relate to the two changes depicted below? Please check the pictures carefully.,images/decrease_size.png,images/decrease_vertical.png,size,vertical,negative
8,shrink,How much does the word <b>shrink</b> relate to the two changes depicted below? Please check the pictures carefully.,images/decrease_vertical.png,images/decrease_size.png,vertical,size,negative
9,contract,How much does the word <b>contract</b> relate to the two changes depicted below? Please check the pictures carefully.,images/decrease_size.png,images/decrease_vertical.png,size,vertical,negative
10,increase,How much does the word <b>increase</b> relate to the two changes depicted below? Please check the pictures carefully.,images/increase_vertical.png,images/increase_size.png,vertical,size,positive
11,grow,How much does the word <b>grow</b> relate to the two changes depicted below? Please check the pictures carefully.,images/increase_size.png,images/increase_vertical.png,size,vertical,positive
12,rise,How much does the word <b>rise</b> relate to the two changes depicted below? Please check the pictures carefully.,images/increase_vertical.png,images/increase_size.png,vertical,size,positive
13,go up,How much does the word <b>go up</b> relate to the two changes depicted below? Please check the pictures carefully.,images/increase_size.png,images/increase_vertical.png,size,vertical,positive
14,escalate,How much does the word <b>escalate</b> relate to the two changes depicted below? Please check the pictures carefully.,images/increase_vertical.png,images/increase_size.png,vertical,size,positive
15,expand,How much does the word <b>expand</b> relate to the two changes depicted below? Please check the pictures carefully.,images/increase_size.png,images/increase_vertical.png,size,vertical,positive
16,extend,How much does the word <b>extend</b> relate to the two changes depicted below? Please check the pictures carefully.,images/increase_vertical.png,images/increase_size.png,vertical,size,positive
